barcode,config_id,sku_id
8900004230,COCOOLPAWI,SPL8955862336
8900004297,COCOPETOPU,SPL4769711674
8900004059,COCOPHBLBL,SPL1499489159
8900004060,COCOPHBLBL,SPL5677185077
8900004066,COCOPHTRBL,SPL6677164559
8900003805,COCOSMPABL,SPL5206878221
8900003829,COCOSMTOGR,SPL3350963595
8900003831,COCOSMTOGR,SPL2919987700
8900003570,COCOSNTOCR,SPL8541637441
8900004247,COCOTHSIJAGR,SPL3029428572
8900003893,COCOVISKPU,SPL9676857051
8900003894,COCOVISKPU,SPL6662765027
8900003896,COCOVISKPU,SPL5568086935
8900003897,COCOVISKPU,SPL5635909363
726684034734,crater-yang-cred-exclusive,GMP3237969633
VJAC-CUBANHEAT_M,VJAC-CUBANHEAT,V5617259149
8904344216207,RWCUHOBL,RPL9263421314
8904344216214,RWCUHOBL,RPL7168697722
8904344216221,RWCUHOBL,RPL8644258408
8904344216238,RWCUHOBL,RPL6170135765
SIPL20087-BLUE-XL,SIPL20087_BLUE,SIP3318298554
SIPL20088-BLUE-XS,SIPL20088_BLUE,SIP7846775029
SS-3114,BW_STI_DANI_PINK_01,JMP8844586776
726684035618,decibel,GMP5483879992
8905202264347,BW_CRA_DELUSIONFLEECE_GREY_01,HOB9586137243
JAC-DIRTYMONEY_S,JAC-DIRTYMONEY,V1261385778
8904469114709,THDOWH,TAP5819418894
8904469114761,THDOWH,TAP2525711413
8904469118110,THDONO,TAP3527158691
8904469118080,THDORO,TAP7529055564
8905202264552,BW_CRA_DRAGONFLEECE_BLACK_01,HOB3161802806
40264879,BW_GOT_DRAKONIS_BLACK_01,GT2725862569
8809447253756,DRAPQSSC,CNC1265230827
PBWSOR0000165,TSHIRT/DREAMS__White,TLC8739007394
SS-2807,BW_STI_ELISA_SAND_01,JMP4319177366
SS-1360,BW_STI_ELOISE_WHITE_01,JMP6679682689
SS-1362,BW_STI_ELOISE_WHITE_01,JMP8378716261
SIPL1810-KHAKI-L,SIPL1810_KHAKI,SIP8970180286
SIPL1810-KHAKI-M,SIPL1810_KHAKI,SIP1337826295
25661536,BW_NON_ESSENTIALSCARBO_BLACK_01,NN9001641807
SIPL1831-BLACK-L,SIPL1831_BLACK,SIP1687963739
JAC-FANGFURY_L,JAC-FANGFURY,V5223374979
JAC-FANGFURY_XXXL,JAC-FANGFURY,V6230544988
95483428,BW_GOT_FEARKILLS_RED_01,GT6206260169
PBWSOR0000347,FEA/VELVET__White,TLC1270354555
PBWSOR0000350,FEA/VELVET__White,TLC6156996203
PBWSOR0000424,NORMAL/3D__Black,TLC1871508714
PBWSOR0000354,NORMAL/3D__White,TLC1001359336
PBWSOR0000356,NORMAL/3D__White,TLC6464018430
PBWSOR0000382,TSHIRT/SYSTEM/3D__White,TLC7686106571
8909196423957,BW_RAR_FLARE_BEIGE_01,RTP8243026852
SS24SB15RF-L,BW_FEI_SS24SB15RF_GREEN_01,MF(3129550988
8906182120500,nefldi_10,NPP1292247845
1188351738271,BW_DAS_DASHDOTFLORAL_01,DAD1141965646
6836700519271,BW_DAS_DASHDOTFLORAL_01,DAD7345619606
SIPL20032-GREEN-XL,SIPL20032_GREEN,SIP8664470846
VJAC-FLYMTTMOON_S,VJAC-FLYMTTMOON,V2746041127
SIPL1966-WHITE-S,SIPL1966_WHITE,SIP6654646412
PBWSOR0000234,TSHIRT/FUCK__Red,TLC3246229336
PBWSOR0000239,TSHIRT/FUCK__Red,TLC6763456454
726684035496,galactis,GMP3328820352
726684035519,galactis,GMP6056937842
