config_id,barcode,sku_id
AMAZEODP_100,6290360615868,SBL9317129573
PRAIKNCOTSH_DAB,8904432418025,PGP9652738025
PRAIKNCOCOTSH_BLK,8904432418063,PGP9200787662
PRAIKNCOTSH_BL,8904432418070,PGP9481086294
PRAIKNCOTSH_BL,8904432418100,PGP9984786148
BW_FEI_AW24BS11FL_RED_01,AW24BS11FL-S,MF(3676252453
BW_FEI_AW24BS11ON_BLACK_01,AW24BS11ON-M,MF(6269136545
BW_FEI_AW24BS11ON_BLACK_01,AW24BS11ON-S,MF(7077238574
BW_FEI_AW24BS11ON_BLACK_01,AW24BS11ON-XL,MF(3726992606
BW_FEI_AW24LG21ON_BLACK_01,AW24LG21ON-L,MF(4269945945
BW_FEI_AW24LG21ON_BLACK_01,AW24LG21ON-M,MF(3573896979
BW_FEI_AW24LG21ON_BLACK_01,AW24LG21ON-XL,MF(2956562010
BW_FEI_AW24LG21RF_GREEN_01,AW24LG21RF-L,MF(4569731048
BW_FEI_AW24LG21RF_GREEN_01,AW24LG21RF-S,MF(7571699108
BW_FEI_AW24LG21RF_GREEN_01,AW24LG21RF-XL,MF(4966507135
BW_FEI_AW24TE08FL_RED_01,AW24TE08FL-M,MF(1067826169
BW_FEI_AW24TE08FL_RED_01,AW24TE08FL-S,MF(7856833204
BW_FEI_AW24TE08ON_BLACK_01,AW24TE08ON-L,MF(2849375238
BW_FEI_AW24TE08ON_BLACK_01,AW24TE08ON-XL,MF(7981087339
BW_FEI_AW24SB29ON_BLACK_01,AW24SB29ON-L,MF(3917479707
BW_FEI_AW24SB29ON_BLACK_01,AW24SB29ON-S,MF(4587948759
BW_FEI_AW24SB29ON_BLACK_01,AW24SB29ON-XL,MF(5703153789
SIPL1957_WHITE,SIPL1957-WHITE-XXL,SIP2594991541
SIPL1956_WHITE,SIPL1956-WHITE-M,SIP4117544153
THAL,8904469117465,TAP3894924341
THAL,8904469117489,TAP3217718338
THAL,8904469117502,TAP9467578477
THAL,8904469117526,TAP5485990628
THAL,8904469117533,TAP2808204614
SIPL1703_YELLOW,SIPL1703-YELLOW-L,SIP6337527408
SIPL1703_YELLOW,SIPL1703-YELLOW-XS,SIP1941601787
SIPL1703_YELLOW,SIPL1703-YELLOW-XXL,SIP7183892468
SIPL1702_YELLOW,SIPL1702-YELLOW-S,SIP4461600371
SIPL1702_YELLOW,SIPL1702-YELLOW-XL,SIP9813492801
SIPL1742_WHITE,SIPL1742-WHITE-XS,SIP5335042546
BW_STI_ALICIALINE_BLUE_01,SS-559,JMP6215489855
BW_STI_ALICIALINE_BLUE_01,SS-561,JMP6054689391
BW_STI_ALICIALINE_BLUE_01,SS-562,JMP4840126639
BW_DAS_LINELACE_WHITE_01,7568197976471,DAD3493715526
BW_DAS_LINELACE_WHITE_01,9124381056471,DAD2236889570
BW_MAS_ALLHEARTSOVERSI_RED_01,NSPJOST-2051-M,BBB8547077494
BW_MAS_ALLHEARTSOVERSI_RED_01,NSPJOST-2051-XL,BBB8369377559
WIALINONBLTR,8906181980495,WEP7512423753
HAALOVEMHASLBESH,240001171,HLP6422823035
NEUAWDBW,8908022205118,ANB5455046243
alter-apollo,726684037322,GMP8721834661
alter-apollo,726684037391,GMP5349408187
alter-apollo,726684037407,GMP5054398749
alter-cinnamon,754523815312,GMP4405460794
alter-cinnamon,754523815329,GMP5527327358
alter-cinnamon,754523815336,GMP4673436936
alter-cinnamon,754523815343,GMP4075476495
alter-cinnamon,754523815350,GMP9849085052
alter-cognac,726684039623,GMP9716594573
alter-cognac,726684039630,GMP7936408089
alter-cognac,726684039654,GMP6242317582
alter-cognac,726684039708,GMP4296751099
alter-frenchman,754523810027,GMP2607466031
alter-frenchman,754523810058,GMP1018066564
alter-frenchman,754523810072,GMP7023108576
alter-glacier,754523811598,GMP1585674998
alter-godfather,726684036752,GMP4284389332
alter-maverick,726684036936,GMP8978414690
alter-maverick,726684036943,GMP4057605196
alter-rambo,726684037148,GMP2718378521
alter-rambo,726684037155,GMP8099001179
alter-rambo,726684037216,GMP7705638494
alter-rogue,726684039838,GMP2892425593
alter-rogue,726684039852,GMP9814454858
alter-rogue,726684039913,GMP2360777871
alter-sage,726684037094,GMP2272232273
